Name,Type,Rating,Rank,Description,Tags,NTags
Love After World Domination,"TV
(12 eps)","3.742 out of 5 from 3,012 votes","Rank #2,711","There are two sides to every coin... light vs. dark, good vs. evil, love vs. hate. Sometimes the line between the two grows thin... and it's so, so easy to cross. So it's no surprise that Fudo Aikawa, A.K.A. Red Gelato of the Gelato Five and hero to all people, just may have happened to fall for the villainess and member of the shadow organization Gekko, Desumi Magahara! But when opposites like these attract, there's more than a few obstacles to their love...! What's a pair like this to do?","{'Comedy', 'Action', 'Shounen', 'Romance', 'Superheroes', 'Based on a Manga', 'Romantic Comedy'}",
Doraemon Movie 40: Nobita no Shinkyouryuu,"Movie
(1 ep)",3.742 out of 5 from 68 votes,"Rank #2,712",No synopsis yet - check back soon!,"{'Cats', 'Family Friendly', 'Adventure', 'Shounen', 'Non-Human Protagonists', 'Based on a Manga'}",
Tiger & Bunny the Movie: The Beginning,"Movie
(1 ep x 92 min)","3.742 out of 5 from 1,159 votes","Rank #2,713","In the city of Stern Bild, superpowered heroes known as NEXT fight crime while promoting their corporate sponsors for the hit show HERO TV. Veteran hero Wild Tiger has years of experience fighting crime, but when his ratings slip he’s forced to team up with Barnaby Brooks Jr., a rookie hero with an attitude.","{'Comedy', 'Original Work', 'Action', 'Superheroes', 'Superpowers', 'Sci Fi', 'Death of a Loved One'}",
One Piece: Straw Hat Theater,"DVD Special
(5 eps x 3 min)","3.742 out of 5 from 2,824 votes","Rank #2,714","The world is in peril from the evil clutches of Usodabada, his various henchmen, and his ultimate weapon – the Luffy Bomber! Luckily, help is at hand as the only one who can save the planet is the heroic ‘Ally for Justice’ Chopperman and his assistant Namifia. Then when all the Straw Hat housewives get out of control it’s up to Landlady Namijima to bring them all into line. With all-out mafia wars coming to a dramatic conclusion and Mugiwara monsters bickering over treasure, life is never dull for the Straw Hat Crew.","{'Pirates', 'Comedy', 'Shounen', 'Chibi', 'Based on a Manga', 'Parody'}",
BanG Dream! 2nd Season,"TV
(13 eps)",3.742 out of 5 from 707 votes,"Rank #2,715","Kasumi and the rest of Poppin'Party may have achieved their goal, but it turns out they were just at the starting line! Performing is a lot of work, and they're not the only band in town! Do they have what it takes to reach true musical stardom?","{'CG Animation', 'All-Girls School', 'Original Work', 'Music', 'School Life'}",
Ranma 1/2: The Movie 2 - Nihao My Concubine,"Movie
(1 ep x 60 min)","3.742 out of 5 from 3,438 votes","Rank #2,716","When Ranma and the gang are invited to go on a boating trip with Kuno, they oblige, hoping to relax in the sun-- but luck isn’t with them. A storm soon strands them on a remote and isolated island, and it quickly becomes apparent this is no normal island! The girls begin disappearing one by one, and it’s up to Ranma to find out why. He discovers that they are being taken to be part of the harem of the ruler of the island, and immediately sets out to save them, even if he has to prove he is the best woman of them all to do it!","{'Comedy', 'Ecchi', 'Harem', 'Shounen', 'Gender Bender', 'Martial Arts', 'Island', 'Based on a Manga'}",
Fist of the North Star: Legend of Kenshiro,"Movie
(1 ep x 90 min)",3.742 out of 5 from 633 votes,"Rank #2,717",No synopsis yet - check back soon!,"{'Dystopia', 'Overpowered Main Characters', 'Desert', 'Action', 'Shounen', 'Post-apocalyptic', 'Hand to Hand Combat', 'Martial Arts', 'Based on a Manga'}","{'Physical Abuse', 'Mature Themes,', 'Explicit Violence,', 'Animal Abuse,'}"
Robotics;Notes,"TV
(22 eps)","3.742 out of 5 from 5,982 votes","Rank #2,718","In the year 2019, the Robotics Club of Central Tanegashima High School has only one goal in mind: to create a working replica of the giant anime robot Gunvarrel! But doing so isn’t easy as the club only has two members: Aki, who took over the project from her now-graduated sister; and Kai, a lazy gamer who’d rather be elsewhere. What’s worse, the school’s vice principal has decided their club is a waste of school funds and plans to shut them down! Now, the duo must convince her otherwise by winning a fighting robot tournament and gaining new, machine-savvy members, but when Kai accidentally stumbles upon an unbelievable conspiracy, the Robotics Club becomes the least of his concerns...","{'School Club', 'Mystery', 'Action', 'Based on a Visual Novel', 'Conspiracy', 'noitaminA', 'Robots', 'School Life'}",
Pokemon Movie 21: The Power of Us,"Movie
(1 ep x 98 min)","3.741 out of 5 from 1,528 votes","Rank #2,719","Ash and Pikachu journey to a small seaside town filled with a diverse set of characters, including a young athlete, a compulsive liar, a shy researcher, a bitter old woman, and a little girl with a big secret. Every year, the townspeople gather to celebrate the Legendary Pokémon Lugia, who brings the wind that saved the town from destruction many years ago. The festival is a time for celebration, with a Pokémon Catching Race and a ceremonial flame burning brightly to summon Lugia. But when a series of incidents threatens not just the festival, but all the people and Pokémon who call the town home, it's going to take more than just Ash and Pikachu to save the day. Will these people be able to put aside their differences and work together to rescue their town? Or will it all end in destruction?","{'Fantasy', 'Elemental Powers', 'Family Friendly', 'Adventure', 'Action', 'Based on a Video Game', 'Monsters'}",
I Can’t Understand What My Husband Is Saying: 2nd Thread,"TV
(13 eps x 3 min)","3.741 out of 5 from 6,769 votes","Rank #2,720",Second season of I Can't Understand What My Husband is Saying.,"{'Mature Romance', 'Short Episodes', 'Based on a 4-Koma Manga', 'Adult Couples', 'Comedy', 'Seinen', 'Romance', 'Married Life', 'Based on a Manga', 'Otaku Culture', 'Romantic Comedy', 'Slice of Life'}",
"You're Being Summoned, Azazel Z","TV
(13 eps x 12 min)","3.741 out of 5 from 1,655 votes","Rank #2,721","Second season of You're Being Summoned, Azazel.","{'Fantasy', 'Short Episodes', 'Comedy', 'Demons', 'Seinen', 'Crude', 'Based on a Manga'}",
Hayate the Combat Butler!,"TV
(52 eps)","3.741 out of 5 from 12,770 votes","Rank #2,722","When Hayate was young, Santa appeared in a dream and told him that if he worked hard, he’d be rewarded. Thus, with an unbreakable will, the unfortunate Hayate has struggled through life holding onto that belief. In the present, his parents are lazy and unemployed, forcing Hayate to work several jobs to pay the bills. As if things couldn’t get worse, Hayate’s parents then run away, leaving him with an enormous debt and loan sharks on his tail! Naturally, the best solution to find money fast is… to kidnap someone?! A girl named Nagi is the target, but due to an unfortunate miscommunication, she believes Hayate has proposed to her and falls for him hard. After Nagi paid off his debt, Hayate must now work as her butler in order to repay her; but first, he must adapt to her wacky world!","{'Debt', 'Breaking the Fourth Wall', 'Comedy', 'Master-Servant Relationship', 'Butlers', 'Shounen', 'Romance', 'Tsundere', 'Based on a Manga', 'Parody', 'Maids'}",
Youkai Watch Movie 4: Shadowside - Oni-ou no Fukkatsu,"Movie
(1 ep)",3.741 out of 5 from 62 votes,"Rank #2,723","There used to be a boy who could control youkai with a mysterious watch. However, he became unable to see youkai when he became an adult. With the boy's duties finished, the watch was buried away in space-time. Then 30 years later, quiet everyday life comes to an end as a fateful day begins with a comet drawing near. The terrible youkai virus Onimaro infects people's malevolent intentions and spreads infinitely. The one chosen by the yo-kai watch is the one who can save humanity from its crisis. The bond between humans and youkai may be recovered with the attainment of a new youkai watch.","{'Comedy', 'Supernatural', 'Family Friendly', 'Based on a Video Game', 'Horror', 'Japanese Mythology', 'Youkai'}",
Disney: Twisted-Wonderland OP,"Other
(1 ep x 2 min)",3.741 out of 5 from 56 votes,"Rank #2,724",The opening animation for the mobile game Disney: Twisted Wonderland.,"{'Opening Animation', 'Disney', 'Based on a Mobile Game'}",
Strike Witches 2,"TV
(12 eps)","3.741 out of 5 from 4,189 votes","Rank #2,725","After discovering that the Neuroi are capable of communication with humans and making peace with the nest above Gallia, the Witches squads are on a mission to reestablish communication, when a sudden attack causes the Neuroi to vanish. The Witches discover a new and massive nest that just appeared, covering almost all Europe. Ruthlessly and without mercy it annihilates allied forces along with Witches. Word of the attack reaches Fuso and a support battalion is deployed to rescue the survivors. Among the rescue team is the former Striker captain Mio Sakamoto and the now civilian Yoshika Miyafuji, who want to save their dear friends.","{'Military', 'Guns', 'Ecchi', 'Original Work', 'Action', 'Historical', 'Animal Characteristics', 'Magic', 'Aliens', 'Sci Fi'}",{'Nudity'}
Doraemon Movie 34: New Nobita's Great Demon - Peko and the Exploration Party of Five,"Movie
(1 ep x 110 min)",3.741 out of 5 from 415 votes,"Rank #2,726",Nobita finds a lost white dog whom he names Peko while his friends desire an adventure somewhere that still hasn´t been explored during their Summer vacation. After some research the five friends and the dog end up going deep into an African jungle just to find out that Peko has a mysterious connection with their destination.,"{'Cats', 'Comedy', 'Dogs', 'Family Friendly', 'Adventure', 'Shounen', 'Jungle', 'Africa', 'Non-Human Protagonists', 'Based on a Manga', 'Forest', 'Robots'}",
Fairy Tail x Rave,"OVA
(1 ep x 26 min)","3.741 out of 5 from 6,158 votes","Rank #2,727","In the crossover story, Fairy Tail's main character Natsu and Rave's main character Haru are lost, so Lucy and Elie —the heroines of both series — embark on a search for them.","{'Fantasy', 'Comedy', 'Action', 'Shounen', 'Magic', 'Crossover', 'Based on a Manga'}",
Nana's Secret Garden,"Music Video
(1 ep x 7 min)",3.741 out of 5 from 27 votes,"Rank #2,728","The official music video for White Rabbit, by Ryokuoushoku Shakai, for the ""TOHO Animation: Music Films"" project, commemorating TOHO animation STUDIO's 10th anniversary.",{'Family Life'},
Diary of Our Days at the Breakwater,"TV
(12 eps)","3.74 out of 5 from 1,105 votes","Rank #2,730","Hina Tsurugi is a first-year student who moves to a town by the sea. While Tsurugi is more of an “indoor kid” who enjoys things like arts and crafts, she is suddenly thrown into the world of fishing when an older student, Yuuki Kuroiwa, invites her to be a part of the school’s fishing club.","{'Comedy', 'School Club', 'Seinen', 'Based on a Manga', 'Fishing', 'Slice of Life'}",
Jin-Roh: The Wolf Brigade,"Movie
(1 ep x 102 min)","3.74 out of 5 from 7,768 votes","Rank #2,731","Constable Fuse is part of an elite Special Forces unit known as the Capital Police whose mission is to maintain peace during a time of civil unrest. Fuse becomes entangled within a web of intrigue and politics between the Capital Police, the government intelligence bureau, and a secret society known as Jin-Roh – the Wolf Brigade.","{'Military', 'Terrorism', 'Guns', 'Seinen', 'Action', 'Thriller', 'Based on a Manga', 'Police', 'Noir'}","{'Mature Themes,', 'Violence'}"
Saint Young Men OVA,"OVA
(2 eps x 21 min)","3.74 out of 5 from 1,975 votes","Rank #2,732","Jesus and Buddha take a vacation from Heaven, and decide to rent an apartment together in Japan. Their new landlady is highly suspicious of her new ""foreign"" tenants since bizarre things seem to happen whenever they are around. Animals flock to them, trees randomly burst into fruit, and strange rumors are floating around that one of them walks on water and the other has a glowing halo. Can these two saintly men peacefully enjoy their holiday undetected, or will their holy hijinx blow their cover?","{'Buddhism', 'Gag', 'Fantasy', 'Based on a Manga', 'Comedy', 'Religion', 'Apartment Life', 'Seinen', 'Christianity', 'Satire', 'Non-Human Protagonists', 'Roommates', 'Parody', 'Contemporary Fantasy', 'Slice of Life'}",
Nobunaga Concerto,"TV
(10 eps)","3.74 out of 5 from 1,975 votes","Rank #2,733","Due to some unlikely events, Saburo is flung back in time to the Sengoku Era. In the past, he meets a young, but sickly Oda Nobunaga, one of Japan’s greatest war lords. Unable to shake Saburo’s uncanny resemblance to himself, Nobunaga asks Saburo to take his place as war lord. Equipped with knowledge from the modern era, will Saburo be able to unite Japan?","{'Feudal Japan', '16th Century', 'CG Animation', 'Time Travel', 'Historical', 'Shounen', 'Person in a Strange World', 'Based on a Manga', 'Rebellions'}",
Naruto Shippuden OVA: Sage Naruto vs Sasuke,"OVA
(1 ep x 6 min)","3.74 out of 5 from 5,253 votes","Rank #2,734","Naruto and Sasuke’s friendship has always been full of rivalry and bitterness from the time they were small children in the academy  to their work together as chuunins. But despite their quarrels it was their competitive natures that made them the powerful shinobi that they are today. Now, following the latest earth-shattering clash between the two ninjas, the original members of Team Kakashi reminisce about the past as they try to come to terms with the devastation left in the pair’s wake.","{'Shorts', 'Ninja', 'Action', 'Rivalries', 'Shounen', 'Based on a Manga'}",
Zoku Touken Ranbu: Hanamaru,"TV
(12 eps)",3.74 out of 5 from 633 votes,"Rank #2,735",Second season of Touken Ranbu: Hanamaru.,"{'Fantasy', 'Swordplay', 'Historical', 'Based on a Video Game', 'Anthropomorphic'}",
Student Council's Discretion Lv. 2,"TV
(10 eps)","3.74 out of 5 from 2,870 votes","Rank #2,736","The series revolves around a private high school whose student council is chosen entirely by popularity vote. Because of this, Ken Sugisaki is the only male representative, in the otherwise all bishojo student council, that may enter the “sacred sanctuary” of the council’s meeting room. At the behest of Council President Kurimu Sakurano, Sugisaki records the minutes of the council meetings, which devolve into daily conversations about the students’ lives and interests.","{'Based on a Light Novel', 'Breaking the Fourth Wall', 'Comedy', 'Ecchi', 'Harem', 'Shounen', 'Parody', 'Student Council', 'School Life'}",
The Seven Deadly Sins Movie 2: Cursed by Light,"Movie
(1 ep x 80 min)","3.74 out of 5 from 1,582 votes","Rank #2,737",No synopsis yet - check back soon!,"{'Fantasy', 'Overpowered Main Characters', 'Medieval', 'Demons', 'Adventure', 'Action', 'Shounen', 'Magic', 'Non-Human Protagonists', 'Based on a Manga', 'Superpowers'}",{'Violence'}
Elfen Lied: In the Passing Rain,"DVD Special
(1 ep x 25 min)","3.74 out of 5 from 16,170 votes","Rank #2,738","Poor Nana just is not able to adapt to her new life after being invited to stay in Kouta and Yuka's home. Especially when Lucy, the evil killer she's living with and despises, is turning out to be an incredibly sweet, clueless person named Nyuu who just wants to make others happy. Regardless, Nana is determined not to be shown up by the likes of her and will pull no stops at proving she can be useful too. Whether it be cleaning the floor, scrubbing the windows or even going on walks with the girl she hates the most, Nana is set on fitting into her new household. But through her efforts is she starting to grow close to Nyuu, despite the way she feels about Nyuu's other personality?","{'Psychological', 'Split Personality', 'Ecchi', 'Seinen', 'Based on a Manga', 'Superpowers'}","{'Nudity', 'Explicit Violence,'}"
FLIP FLAPPERS,"TV
(13 eps)","3.74 out of 5 from 3,052 votes","Rank #2,739","Cocona is a model honor student, cautious and slow to embrace new opportunities. This makes life complicated when a mysterious girl named Papika suddenly appears, fearlessly searching for a wish-granting crystal called the “Shard of Mimi.” When fates collide and they're given the ability to transform into powerful fairy-like beings, where will the dangerous journey into “Pure Illusion” take them?","{'Magical Girl', 'Adventure', 'Original Work', 'Magic', 'Sci Fi'}",
Strike the Blood: Kingdom of the Valkyria,"OVA
(2 eps x 23 min)","3.74 out of 5 from 2,977 votes","Rank #2,740","Kingdom of Aldegyr and the Lost Warlord's Dominion are holding a signing ceremony to extend their mutual non-aggression treaty. While La Folia is with them, Kojou does not anticipate meeting them as they are busy with work. However, an evil terrorist plot threatens the signing ceremony and it is up to Kojou and Yukina to stop them from succeeding.","{'Fantasy', 'Based on a Light Novel', 'Demons', 'Harem', 'Action', 'Vampires', 'Magic', 'Island', 'Urban Fantasy'}",{'Nudity'}
Saint Seiya: Knights of the Zodiac,"TV
(114 eps)","3.74 out of 5 from 6,296 votes","Rank #2,741","In a world where Gods reincarnate themselves into the bodies of humans, Athena is the Guardian of Earth. Together with her 88 Saints, she must protect the Earth against other gods whose sole purpose is to take over her position and extend their realm; it has been so for thousands of years. In this age, Athena, along with her Bronze Saints Seiya, Shiryu, Ikki, Hyoga and Shun, will have to counter the evil plans of a traitor amongst her midst who rejects her identity and nominates himself as the sole lord of Athena’s Saints. Being the only ones behind the true Athena, Seiya and the others will have to battle their way through countless Saints to unmask this impostor.","{'Power Suits', 'Zodiac', 'Fantasy', 'Action', 'Shounen', 'Gods', 'Greek Mythology', 'Hand to Hand Combat', 'Non-Human Protagonists', 'Based on a Manga', 'Superpowers', 'Sci Fi', 'Norse Mythology'}","{'Mature Themes,', 'Violence', 'Physical Abuse,'}"
STARMYU 2,"TV
(12 eps)",3.74 out of 5 from 557 votes,"Rank #2,742","Yuuta Hoshitani, who enrolled in the prestigious Ayanagi Academy for music entertainment, passed the first-year test to become a musical department student in his second year. However, the new school year immediately presents new trials for the returning students. The first task on the second-year curriculum is supporting the graduation stage performance of Outori and the other graduating Kao Council members. There are five roles known as ""second-year training roles"" in the legendary musical Shadow & Lights. Every year, a team of only five second-year students get to step on stage as performers in the musical. To earn a ticket to glory, Hoshitani and 24 other new musical department students take on the training auditions.","{'Music School', 'Original Work', 'Music', 'School Life'}",
Himouto! Umaru-chan,"TV
(12 eps)","3.74 out of 5 from 12,588 votes","Rank #2,743","To the rest of the world, Umaru is kind, smart, and the perfect high school student. But her brother, Taihei, knows the truth: at home, she's a bratty, slovenly, lazy girl who eats junk food, plays video games, and throws tantrums when Taihei won’t buy her manga or do what she wants! Now, in addition to working full time to support their household, Taihei must do all of the cooking, cleaning and shopping while Umaru enjoys her carefree days as an unabashed, yet secretive, otaku.","{'Gag', 'Comedy', 'Seinen', 'School Life', 'Chibi', 'Siblings', 'Based on a Manga', 'Otaku Culture', 'Slice of Life'}",
Shion no Ou,"TV
(22 eps)","3.74 out of 5 from 1,830 votes","Rank #2,744","When Shion was a young girl, her parents were brutally murdered; and the sight of their dead bodies in a pool of blood caused her to lose her voice. Years later, Shion is now a young woman who was raised by Shinji Yasuoko, a professional Shogi player, and his wife. Shion has become a Shogi player just like her adopted father, and is working her way towards becoming a female Meijin – a master of the sport. With powerful opponents and sinister strangers around every turn, and her parents’ killer still on the loose, Shion’s path to glory has never seemed more challenging!","{'Psychological', 'Based on a Manga', 'Shogi', 'Tournaments', 'Seinen', 'Mystery', 'Board Games', 'Drama'}",
Inazuma Eleven GO: Chrono Stone,"TV
(51 eps)",3.739 out of 5 from 971 votes,"Rank #2,745","A few months after the conclusion of Holy Road, Tenma returns to Raimon to find that the soccer club has disappeared as if it never existed, thanks to the actions of El Dorado, an organization from the future that seeks to erase soccer from the world. Along with new allies Fei Rune and the robot bear Clark Wonderbot, Tenma seeks to defeat El Dorado and bring back the soccer he loves.","{'Time Travel', 'Family Friendly', 'Sports', 'Based on a Video Game', 'Soccer', 'Superpowers'}",
Nogizaka Haruka no Himitsu,"TV
(12 eps)","3.739 out of 5 from 9,508 votes","Rank #2,746","Yuuto Ayase is not interested in girls - if his two housemates are anything to go by, girls are loud, brazen slobs that are best left alone. However, when Yuuto accidentally discovers an important secret of his school’s most popular female, Haruka Nogizaka, the two become bound in a budding friendship. All too soon, Yuuto discovers that, despite her flawless appearance, Haruka is clumsy, naive, and a closet otaku... and he just might be falling for her.","{'Based on a Light Novel', 'Comedy', 'Ecchi', 'Romance', 'Otaku Culture', 'School Life'}",
"Shounen Maid: Women Should Be Brave, and Men Should Be Winsome?","DVD Special
(1 ep x 24 min)",3.739 out of 5 from 230 votes,"Rank #2,747",No synopsis yet - check back soon!,"{'Comedy', 'Based on a Manga', 'Shoujo', 'Slice of Life', 'Maids'}",
Talentless Nana,"TV
(13 eps)","3.739 out of 5 from 5,483 votes","Rank #2,748","In the year 20XX, these teenagers with special powers attend specialized schools to hone their abilities. And then there’s Nana, who was sent to attend one of these schools but doesn’t actually have a unique ability. Can she defeat the Enemies of Humanity with her brains and wit?","{'Psychological', 'Supernatural', 'School Life', 'Shounen', 'Horror', 'Island', 'Thriller', 'Based on a Manga', 'Superpowers', 'Drama'}",{'Violence'}
Aikatsu! 2,"TV
(51 eps)",3.739 out of 5 from 579 votes,"Rank #2,749","With the rise of the new idol school, ""Dream Academy"", Starlight Academy has been placed in a predicament. With large rookie idol with perfect pitch ""Seira Otoshiro"", and producer-in-training Kii Saegusa, Starlight Academy will start facing new rivals which appear one after another, multiplied by the rivalry to take the seat of top idol. The girls driven into Idol Activities with overlap, encounter, and interact with new rivals. Ichigo and the others' Idol Activities will continue to go on.","{'Based on a Card Game', 'Music School', 'Music', 'Idols', 'Showbiz', 'School Life'}",
"One Piece Special 2: Open Upon the Great Sea! A Father's Huge, HUGE Dream!","TV Special
(1 ep x 46 min)","3.739 out of 5 from 3,223 votes","Rank #2,750","One day, the crew of the Going Merry stumble across a small island which houses Bonnie and Max, two pirates who have recently escaped from their ship. They are accompanied by three young children, including Amanda, a young girl who holds the secret to a hidden treasure. However, Amanda is captured and the pirates responsible make their escape, but not before the half-asleep Luffy launches himself onto their ship! When the pair are taken to Captain Bayan, whose formidable Symphony Conductor has the power to control people – including Luffy - their trouble really begins. Now, with the Straw Hat Pirates being forced to fight against their own captain, will they still be able to stop Bayan and help Amanda find the treasure that her father lost his life to protect?","{'Pirates', 'Comedy', 'Action', 'Shounen', 'Based on a Manga', 'Superpowers'}",
Wolf Girl and Black Prince OVA,"OVA
(1 ep x 24 min)","3.739 out of 5 from 2,661 votes","Rank #2,751",No synopsis yet - check back soon!,"{'Comedy', 'Romance', 'Based on a Manga', 'Shoujo', 'School Life'}",
Joker 4,"TV
(13 eps)",3.739 out of 5 from 111 votes,"Rank #2,752","The thief Mysterious Joker doesn't just steal things. An audacious and elusive miracle-maker, he travels the world searching for treasure with his partner and cook Hachi. As they circle the globe, they must avoid traps set by the police and compete in various competitions to reach their final goal, the Timeslip Treasure.","{'Based on a Manga', 'Comedy', 'Thieves', 'Shounen'}",
Beyblade: Burst God,"TV
(51 eps)",3.739 out of 5 from 427 votes,"Rank #2,753",Second season of Beyblade: Burst.,"{'Proxy Battles', 'Action', 'Shounen'}",
That Time I Got Reincarnated as a Slime: Ramiris Saved,"Web
(1 ep x 3 min)",3.739 out of 5 from 222 votes,"Rank #2,754",No synopsis yet - check back soon!,"{'Comedy', 'Fantasy', 'Magic', 'Based on a Manga'}",
Mahoutsukai Haley no Speed Story,"Movie
(1 ep x 30 min)",3.739 out of 5 from 21 votes,"Rank #2,755","Haley is a student at the school of wizardry, doing nothing but racing with his friends on flying broomsticks. One day, Haley's teacher unveils one of his latest inventions - magic goggles that measure the speed of moving objects, simply by wearing them. He has Haley and his friends use these googles and compete against each other to decide who will measure the fastest speed of any surrounding animal. Peter, frustrated after losing against Haley, challenges him to another match and the two head toward the human world, taking with them an advanced magic broomstick their teacher had developed. Although this broomstick was incomplete, Haley and Peter succeed in flying around the human world to discover the fastest moving object.","{'Fantasy', 'Family Friendly', 'Magic', 'Original Work'}",
Detective Conan OVA 2: 16 Suspects,"OVA
(1 ep x 25 min)","3.738 out of 5 from 1,672 votes","Rank #2,756","Conan, the Detective Boys, Hattori and the rest of the gang have been invited to Inspector Shiratori's new house for a party celebrating its completion. With delicious food and drink, everyone is pleased as punch to be in attendance; they are especially impressed with Shiratori's wine cellar and multi-million-dollar bottle of Chateau Latour. However, disaster soon strikes when the rare wine is discovered - broken on the floor! Everyone, including Conan, is a suspect; who committed such a crime?","{'Based on a Manga', 'Food and Beverage', 'Mystery', 'Shounen', 'Age Transformation', 'Detectives'}",
Slam Dunk Movie 3,"Movie
(1 ep x 40 min)",3.738 out of 5 from 850 votes,"Rank #2,757","After losing the titanic match against Kainan High, Team Shohoku and a newly shaven Hanamichi Sakuragi are challenged to an exhibition match by virtual basketball unknowns Ryoukufu High. Coach Anzai sees this as an opportunity for Shohoku to regain their confidence, but Ryoukufu are revealed to have a newly assembled championship calibre lineup and may give Sakuragi & Co their toughest test yet.","{'Basketball', 'Comedy', 'School Club', 'Sports', 'School Life', 'Action', 'Shounen', 'Based on a Manga', 'Drama', 'Delinquents'}",
"""Bungaku Shoujo"" Movie","Movie
(1 ep x 101 min)","3.738 out of 5 from 2,874 votes","Rank #2,758","As first year student Konoha Inoue is about to leave school campus, he sees a girl eat a page from the book she is reading. She introduces herself as second year Touko Amano, the literature girl, and asks him to join the Literature Club so that he doesn't expose her secret. After almost two years of being the sole two members of the club, a strange message arrives: a piece of paper with a peculiar drawing. Further investigation leads them not only to Inoue's past, but to the reason to why he has given up on writing novels for the rest of his life.","{'Drama', 'Based on a Light Novel', 'School Club', 'Mystery', 'Romance', 'School Life'}",
Super Lovers,"TV
(10 eps)","3.738 out of 5 from 6,872 votes","Rank #2,759","Fooled into coming overseas by news of his mother's imminent death, high school student Kaido Haru encounters a boy who insists that he's his brother. Haru does his best to raise feral and obstinate Ren, but there seems to be a secret behind Ren's birth. On top of that, just when Ren begins to warm up to Haru, tragedy strikes. Five years later, Haru reunites with Ren, all grown up in Tokyo, but…","{'Lifestyle Change', 'LGBT Themes', 'Age Gap', 'Comedy', 'Brother Complex', 'Shounen-ai', 'BL', 'Romance', 'Slice of Life', 'Siblings', 'Based on a Manga', 'Opposites Attract', 'Drama'}",
Beelzebub Jump Super Anime Tour Special,"OVA
(1 ep)","3.738 out of 5 from 3,084 votes","Rank #2,760","In a school full of delinquents there’s one badass that stands head and shoulders above the rest, Tatsumi Oga. One day, after seeing a bizarre man floating down the river, Oga gets the shock of his life when the guy splits in half and a baby crawls out, and immediately latches onto him. To make matters worse, a demon named Hildegarde approaches him and informs him that the child he’s suddenly inherited is Beelzebub, the next demon king, and Oga has been chosen to be the baby’s parent – that, and the baby’s cry emits a powerful electric shock that proves fatal if he’s more than 15 meters from the terrifying teen! Now, after discovering that he was only chosen for being strong and vicious, Oga decides to seek out the toughest badass of the lot in the hopes that baby Beelzebub will choose himself a new parent.","{'Comedy', 'Demons', 'Action', 'Shounen', 'Based on a Manga', 'Superpowers', 'Delinquents'}",
Digimon Adventure Tri. Movie 6: Future,"Movie
(1 ep x 80 min)","3.738 out of 5 from 1,149 votes","Rank #2,761",Part 6 of the Digimon Adventure Tri. movie series.,"{'Drama', 'Sci Fi', 'Action', 'Monsters'}",
amazarashi: Antinomy,"Music Video
(1 ep x 5 min)",3.738 out of 5 from 53 votes,"Rank #2,763","The official music video for NieR:Automata Ver1.1a's ending theme Antimony, performed by amazarashi.","{'Action', 'Based on a Video Game', 'Androids', 'Non-Human Protagonists', 'Sci Fi', 'Robots'}",
Black Bullet,"TV
(13 eps)","3.737 out of 5 from 24,521 votes","Rank #2,764","In the year 2021, mankind was defeated by Gastrea, a parasitical virus, and was forced to live within a wall made of Baranuim monoliths, a metal that is able to subdue Gastrea. Soon, the ""Cursed Children"" were discovered: children born infected with the Gastrea virus who possess superhuman abilities. Due to the Gastrea virus' intervention, the Cursed Children could only be female. Civil Securities are formed to specialize fighting against Gastrea, operating with the pair of an Initiator, who are cursed children, and a Promoter, serving to lead the cursed children. Ten years after the war, Rentaro Satomi, a high school student and Civil Security member, and his Initator Enju Aihara, receive a secret mission to prevent Tokyo's destruction.","{'Based on a Light Novel', 'Mystery', 'Action', 'Post-apocalyptic', 'Pandemic', 'Sci Fi', 'Insects'}",
Ba La La Xiao Mo Xian Zhi: Meng Huan Xuan Lu,"TV
(52 eps)",3.737 out of 5 from 32 votes,"Rank #2,765","To help the Fairy Queen find her disappeared friend Melody, who was a skillful music fairy from the Music Castle, Shirley, Maggie, Michelle and Emma encounter nine Musical Magicians and fight with dark musical fairy Voiceless. Shirley and the fairies suspect that Melody is connected with the dark power behind the scene. What is the truth?","{'Chinese Animation', 'Fantasy', 'Magical Girl'}",
Kantai Collection: Kan Colle Movie,"Movie
(1 ep x 93 min)",3.737 out of 5 from 666 votes,"Rank #2,766",No synopsis yet - check back soon!,"{'Military', 'Ocean', 'Action', 'Based on a Video Game', 'Non-Human Protagonists', 'Anthropomorphic', 'Military School', 'War', 'School Life'}",
Danganronpa: The Animation,"TV
(13 eps)","3.737 out of 5 from 27,537 votes","Rank #2,767","Hope’s Peak Private Academy is a super-exclusive institute that gathers the best and the brightest, provides them with a world-class education, and propels them into any career they wish. At least, that’s what the average student Naegi used to think. Having been accepted into a class of 15 students through a lottery system, the boy quickly comes to learn that Hope’s Peak is no ordinary school. In reality, he and the group find themselves trapped inside and learn that the only way to ""graduate"" is to murder a fellow student and fool everyone in a trial that determines life or death! Led by the whimsically-cruel, teddy-bear-like Monobear, Naegi and the others must do whatever it takes to escape this bizarre, deadly game.","{'Play or Die', 'Psychological', 'Mystery', 'Animeism', 'Based on a Video Game', 'PVP', 'High Stakes Games', 'Battle Royale'}","{'Mature Themes,', 'Violence', 'Suicide,'}"
SSSS.Dynazenon Movie,"Movie
(1 ep x 125 min)",3.737 out of 5 from 11 votes,"Rank #2,768","A compilation film, recapping the SSSS.Dynazenon series.","{'Mecha', 'Recap', 'Combining Mecha', 'Action', 'Kaijuu', 'Sci Fi', 'Monsters'}",
