Name,Type,Rating,Rank,Description,Tags,NTags
Clannad After Story,"TV
(24 eps)","4.432 out of 5 from 37,418 votes",Rank #43,"Summer break is now over; the second semester has started for Tomoya, Nagisa and the others, and little has changed. Since Tomoya's relationship with his father is still troubled, he continues to live with Nagisa and her family, even if it means getting roped into organizing a baseball team for the family bakery. Life at school continues as normal with Sunohara as carefree as ever; however, when his sister Mei voices her concerns about him, the series of events that follow place a strain on Sunohara and Tomoya’s friendship. Whether it's saving a person from themselves or passing on a message from the past, one thing’s for sure: no matter how tough things get, good friends will always be there to help out.","{'Romance', 'Based on a Visual Novel', 'Family Life', 'Coming of Age', 'Drama', 'Adult Couples', 'Illness'}",{'Mature Themes'}
Steins;Gate,"TV
(24 eps)","4.431 out of 5 from 49,100 votes",Rank #44,"The eccentric mad scientist Okabe, his childhood friend Mayuri, and the otaku hacker Daru have banded together to form the Future Gadget Research Laboratory, and spend their days in a ramshackle laboratory hanging out and occasionally attempting to invent incredible, yet generally useless, futuristic gadgets. However, their claymore is a hydrator and their hair dryer flips breakers, and the only invention that’s even remotely interesting is their Phone Microwave, which transforms bananas into oozing green gel. But when an experiment goes awry the gang discovers that the Phone Microwave can also send text messages to the past. And what's more, the words they send can affect the flow of time and have unforeseen, far-reaching consequences...","{'Based on a Visual Novel', 'Sci Fi', 'Time Travel', 'Psychological', 'Conspiracy', 'Thriller', 'Time Loop'}","{'Violence', 'Mature Themes,', 'Suicide,'}"
Gintama: Shirogane no Tamashii-hen,"TV
(12 eps)","4.431 out of 5 from 3,575 votes",Rank #45,Final arc of Gintama.,"{'Aliens', 'Slapstick', 'Sci Fi', 'Feudal Japan', 'Samurai', 'Crude', 'Swordplay', 'Based on a Manga', 'Shounen', 'Comedy', 'Drama', 'Action', 'Gag'}",
Link Click,"Web
(11 eps x 23 min)","4.43 out of 5 from 4,762 votes",Rank #46,"Using superpowers to enter their clientele’s photos one by one, Cheng Xiaoshi and Lu Guang take their work seriously at “Time Photo Studio,” a small photography shop set in the backdrop of a modern metropolis. Each job can be full of danger, but nothing is more important than fulfilling every order, no matter the scale…or peril involved!","{'Fantasy', 'Contemporary Fantasy', 'Time Travel', 'Superpowers', 'Urban Fantasy', 'Chinese Animation', 'Drama', 'Original Work'}",{'Violence'}
Gintama.,"TV
(12 eps)","4.428 out of 5 from 5,573 votes",Rank #47,Fifth season of Gintama.,"{'Aliens', 'Slapstick', 'Sci Fi', 'Feudal Japan', 'Samurai', 'Crude', 'Swordplay', 'Based on a Manga', 'Shounen', 'Comedy', 'Drama', 'Action', 'Gag'}",
Gintama',"TV
(51 eps)","4.428 out of 5 from 10,575 votes",Rank #48,"Gintoki Sakata, Kagura, and Shinpachi Shimura continue to scrape together a living as the freelance jack-of-all-trades group Yorozuya in Edo while living among the several odd humans and aliens that inhabit the peculiar metropolis.","{'Aliens', 'Slapstick', 'Sci Fi', 'Feudal Japan', 'Samurai', 'Crude', 'Swordplay', 'Based on a Manga', 'Breaking the Fourth Wall', 'Shounen', 'Comedy', 'Drama', 'Action', 'Gag', 'Parody'}",
That Time I Got Reincarnated as a Slime Season 2: Part II,"TV
(12 eps)","4.427 out of 5 from 16,719 votes",Rank #49,Continuation of That Time I Got Reincarnated as a Slime Season 2.,"{'Modern Knowledge', 'Isekai', 'Fantasy', 'Game Elements', 'Kingdom Building', 'Political', 'Magic', 'Based on a Manga', 'Person in a Strange World', 'Reincarnation', 'Demons', 'Adventure', 'Shounen', 'Management', 'Action', 'Slimes', 'Monsters', 'Cheats'}",{'Physical Abuse'}
Oshi no Ko,"TV
(11 eps)","4.427 out of 5 from 7,984 votes",Rank #51,"In the entertainment industry, lying is both your strongest weapon and an exceptional form of love. Goro, a gynecologist and a massive B-Komachi stan, finds his life turned upside down when his newest patient turns out to be B-Komachi member Ai-chan herself! Despite the industry seeing children as a idol's death sentence, the 16-year-old Ai still desperately wants to give birth. So under the cover of secrecy, Goro helps the young idol with her prenatal care... only to be attacked and killed the night she's due to give birth. Reincarnated as one of her newborn twins, Goro (now Aquamarine Hoshino) gets to spend 24 hours a day in the arms of his favourite idol! But can a ditzy young idol with a life full of lies make a good mother? And what of Ruby, his suspiciously verbose sister?","{'Siblings', 'Based on a Manga', 'Reincarnation', 'Psychological', 'Slice of Life', 'Idols', 'Showbiz', 'Seinen', 'Social Media', 'Drama', 'Acting'}","{'Violence', 'Suicide,'}"
Fruits Basket 2nd Season,"TV
(25 eps)","4.427 out of 5 from 12,513 votes",Rank #50,Second season of Fruits Basket.,"{'Romance', 'Dysfunctional Families', 'Fantasy', 'Mental Illness', 'Shoujo', 'Contemporary Fantasy', 'Animal Transformation', 'Based on a Manga', 'Zodiac', 'Orphans', 'Comedy', 'Curse', 'Drama', 'Love Triangle'}","{'Emotional Abuse,', 'Bullying,', 'Domestic Abuse', 'Mature Themes,', 'Physical Abuse,'}"
Bungo Stray Dogs 5th Season,"TV
(11 eps)","4.425 out of 5 from 2,053 votes",Rank #52,The fifth season of Bungo Stray Dogs.,"{'Detectives', 'Superpowers', 'Based on a Manga', 'Orphans', 'Seinen', 'Guns', 'Comedy', 'Mafia', 'Supernatural', 'Action', 'Gangs'}",{'Violence'}
